Player,BPM
Terrel Harris,-8.85
Terrence Jones,1.7000000000000002
Terrence Ross,-1.3666666666666665
Terrence Williams,-1.9
Thabo Sefolosha,1.025
Thaddeus Young,0.75
Thomas Robinson,-3.5
Tiago Splitter,1.775
Tim Duncan*,4.25
Tim Frazier,-5.2
Tim Hardaway Jr.,-2.3
Tim Ohlbrecht,-17.2
Timofey Mozgov,-1.925
Tobias Harris,-0.6499999999999999
Toney Douglas,-2.4499999999999997
Tony Allen,1.175
Tony Battie,-2.9
Tony Mitchell,5.5
Tony Parker,1.4750000000000003
Tony Snell,-2.0
Tony Wroten,-2.9
Tornike Shengelia,-6.9
Toure' Murry,-8.15
Tracy McGrady*,0.6
Travis Leslie,-0.3
Travis Outlaw,-2.466666666666667
Travis Wear,-5.5
Trevor Ariza,1.675
Trevor Booker,-0.525
Trey Burke,-2.0
Trey Johnson,-2.9
Trey Thompkins,-5.7
Tristan Thompson,-2.4499999999999997
Troy Daniels,-1.4000000000000001
Troy Murphy,-1.5
Ty Lawson,2.425
Tyler Ennis,-4.3
Tyler Hansbrough,-1.7249999999999999
Tyler Honeycutt,-7.699999999999999
Tyler Johnson,-0.9
Tyler Zeller,-1.7666666666666666
Tyreke Evans,0.75
Tyrus Thomas,2.1333333333333333
Tyshawn Taylor,-8.05
Tyson Chandler,1.6
Udonis Haslem,-3.3
Vander Blue,-11.8
Vernon Macklin,1.2
Viacheslav Kravtsov,-4.45
Victor Claver,-3.366666666666667
Victor Oladipo,-0.8999999999999999
Vince Carter,0.675
Vladimir Radmanović,-2.6
Von Wafer,-2.6
Vítor Luiz Faverani,-3.2
Walker Russell,-5.5
Wayne Ellington,-1.5999999999999999
Wesley Johnson,-2.1
Wesley Matthews,1.4500000000000002
Will Barton,-2.033333333333333
Will Bynum,-5.3
Will Cherry,-6.0
Will Conroy,-24.9
Willie Green,-2.175
Wilson Chandler,-1.3749999999999998
Xavier Henry,-4.925
Xavier Silas,-14.7
Yi Jianlian,-5.7
Zach LaVine,-4.6
Zach Randolph,0.42500000000000004
Zaza Pachulia,-0.9500000000000001
Zoran Dragić,-7.7
Ömer Aşık,-1.25
